"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Auxiliary_D.21_pred[3]",1,7,13,7.29491666666667,3.35011858714952,6,0.0136759723816839,0.4,60007,-0.00463821972509823,1.0001316253154,"Auxiliary_D.21_pred[3]",7.295,1,13
"GivenDetectionAtD.21_pred[1]",0,5,11,5.59385,2.97426847287124,4,0.0121424001943024,0.4,60000,-0.00159015139687517,1.00002039391484,"GivenDetectionAtD.21_pred[1]",5.594,0,11
"GivenDetectionAtD.21_pred[2]",0,3,7,3.1879,2.29386456013507,2,0.00940084056713624,0.4,59539,0.00173613491892506,1.0002011744156,"GivenDetectionAtD.21_pred[2]",3.188,0,7
"Auxiliary_D.22_pred[1]",0,0,3,0.796466666666667,1.17821785712329,0,0.0051051722940622,0.4,53264,0.0024106344327612,1.00001828270434,"Auxiliary_D.22_pred[1]",0.796,0,3
"Auxiliary_D.22_pred[2]",0,1,5,1.65971666666667,1.69827520012702,0,0.00705943796199619,0.4,57873,0.00461726827860651,1.00002938789642,"Auxiliary_D.22_pred[2]",1.66,0,5
"Auxiliary_D.22_pred[3]",12,20,29,20.51765,4.54321462815548,20,0.0186560760451173,0.4,59304,0.0032030830196606,1.00019337049831,"Auxiliary_D.22_pred[3]",20.518,12,29
"GivenDetectionAtD.22_pred[1]",10,19,27,18.7223166666667,4.49904574955621,19,0.0183672773597501,0.4,60000,0.00454808620513486,1.00001721614708,"GivenDetectionAtD.22_pred[1]",18.722,10,27
"GivenDetectionAtD.22_pred[2]",0,4,9,4.25151666666667,2.65233983773431,3,0.0108804387980776,0.4,59424,-0.000715879719658187,1.0001780080119,"GivenDetectionAtD.22_pred[2]",4.252,0,9
"Auxiliary_H.30_pred[1]",0,4,9,4.30343333333333,2.66547931122244,3,0.0108817737207336,0.4,60000,0.00271226720632812,0.999995922115716,"Auxiliary_H.30_pred[1]",4.303,0,9
"Auxiliary_H.30_pred[2]",0,1,5,1.7112,1.72998394233608,0,0.00724702296665922,0.4,56986,0.00375195254578669,0.999990317796643,"Auxiliary_H.30_pred[2]",1.711,0,5
"Auxiliary_H.30_pred[3]",17,26,34,25.7804166666667,4.46040709056686,26,0.0184296089869944,0.4,58576,-0.00099346618316918,1.00000920649334,"Auxiliary_H.30_pred[3]",25.78,17,34
