"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"GivenDetectionAtD.3_pred[1]",4,11,21,11.7847833333333,4.71008862640999,10,0.0192288562966514,0.4,60000,-0.00016163998588626,1.00001161802876,"GivenDetectionAtD.3_pred[1]",11.785,4,21
"GivenDetectionAtD.3_pred[2]",0,3,9,3.86825,2.66378994425507,2,0.010874876908969,0.4,60000,0.00122002786039206,0.999999180634202,"GivenDetectionAtD.3_pred[2]",3.868,0,9
"GivenDetectionAtD.3_pred[3]",0,1,5,1.4695,1.62532471976343,0,0.00659358418716169,0.4,60763,-0.00615230729777202,1.00003491267414,"GivenDetectionAtD.3_pred[3]",1.47,0,5
"GivenDetectionAtD.3_pred[4]",0,0,0,0.0160833333333333,0.130095894649238,0,0.000529686129910292,0.4,60324,-0.00444070675528552,1.00041633115628,"GivenDetectionAtD.3_pred[4]",0.016,0,0
"GivenDetectionAtD.3_pred[5]",0,0,0,0.0404666666666667,0.211888014049239,0,0.000864205092134657,0.4,60114,-0.000773418055386827,1.00071936301017,"GivenDetectionAtD.3_pred[5]",0.04,0,0
"GivenDetectionAtD.3_pred[6]",0,0,1,0.115216666666667,0.383767604610474,0,0.00157349169388997,0.4,59485,0.00340053692239841,1.00006166297685,"GivenDetectionAtD.3_pred[6]",0.115,0,1
"GivenDetectionAtD.3_pred[7]",4,14,24,14.4559,5.21518058093947,13,0.0213728864705011,0.4,59540,0.00583676121481283,0.999982897647206,"GivenDetectionAtD.3_pred[7]",14.456,4,24
"Auxiliary_D.8_pred[1]",0,0,3,0.789166666666667,1.1872402724582,0,0.00507204567805188,0.4,54791,-0.00416640846893032,1.00002192825844,"Auxiliary_D.8_pred[1]",0.789,0,3
"Auxiliary_D.8_pred[2]",0,0,3,0.786366666666667,1.19750491962362,0,0.00510886165547204,0.4,54942,-0.00700371592251064,1.00000100556152,"Auxiliary_D.8_pred[2]",0.786,0,3
"Auxiliary_D.8_pred[3]",2,10,18,10.2452666666667,4.37631086614843,9,0.0178510777079624,0.4,60102,0.000223629336241481,1.00004136352374,"Auxiliary_D.8_pred[3]",10.245,2,18
"GivenDetectionAtD.8_pred[1]",0,3,7,3.00606666666667,2.32201487034569,2,0.00947958601250276,0.4,60000,-0.00479550198947081,1.00005657430073,"GivenDetectionAtD.8_pred[1]",3.006,0,7
"GivenDetectionAtD.8_pred[2]",1,7,15,7.70495,3.76419070315176,7,0.0152972101548376,0.4,60551,-0.00463882034946677,1.00007384899666,"GivenDetectionAtD.8_pred[2]",7.705,1,15
"GivenDetectionAtD.8_pred[3]",0,0,1,0.0712333333333333,0.28289069622027,0,0.00115489643120051,0.4,60000,-0.00262228117070602,1.00010616944246,"GivenDetectionAtD.8_pred[3]",0.071,0,1
"GivenDetectionAtD.8_pred[4]",0,1,4,1.03855,1.34729141270025,0,0.0056483281468774,0.4,56896,-0.000923436657078849,1.00000490104325,"GivenDetectionAtD.8_pred[4]",1.039,0,4
"Auxiliary_D.14_pred[1]",0,0,3,0.5941,0.998346199932125,0,0.00415735660685365,0.4,57667,0.00348646994571605,1.0000428444821,"Auxiliary_D.14_pred[1]",0.594,0,3
"Auxiliary_D.14_pred[2]",0,0,3,0.591516666666667,0.998001987233324,0,0.00402138566950958,0.4,61590,0.00102194894354751,1.0000698600207,"Auxiliary_D.14_pred[2]",0.592,0,3
"Auxiliary_D.14_pred[3]",0,2,7,2.69403333333333,2.1789286804281,1,0.00892811949301414,0.4,59562,0.0045369710486299,0.999984689011612,"Auxiliary_D.14_pred[3]",2.694,0,7
"GivenDetectionAtD.14_pred[1]",0,1,4,1.2073,1.42281192827082,0,0.0058086053736816,0.4,60000,5.56193634346011e-05,1.00001692480232,"GivenDetectionAtD.14_pred[1]",1.207,0,4
"GivenDetectionAtD.14_pred[2]",0,2,7,2.67235,2.17327115871263,1,0.00880232540450364,0.4,60958,0.00365499033898964,1.00001243330797,"GivenDetectionAtD.14_pred[2]",2.672,0,7
"Auxiliary_D.15_pred[1]",0,0,2,0.3987,0.802775840952824,0,0.00327731864694673,0.4,60000,0.000385987184043674,1.00001306130562,"Auxiliary_D.15_pred[1]",0.399,0,2
"Auxiliary_D.15_pred[2]",0,0,2,0.3954,0.797560514974413,0,0.00325602716779777,0.4,60000,-0.00320390779125092,1.00011149766594,"Auxiliary_D.15_pred[2]",0.395,0,2
"Auxiliary_D.15_pred[3]",0,0,3,0.679483333333333,1.05702618453603,0,0.0043156226618204,0.4,59991,-0.00165605320744939,0.999996118535991,"Auxiliary_D.15_pred[3]",0.679,0,3
"GivenDetectionAtD.15_pred[1]",0,0,2,0.423233333333333,0.806629441817304,0,0.0032864303458627,0.4,60242,0.00374632491460974,1.0000336577498,"GivenDetectionAtD.15_pred[1]",0.423,0,2
"GivenDetectionAtD.15_pred[2]",0,1,4,1.05035,1.35286561845207,0,0.00552305075960379,0.4,60000,-0.00734751505153264,1.00001322954606,"GivenDetectionAtD.15_pred[2]",1.05,0,4
"Auxiliary_D.21_pred[1]",0,0,2,0.4956,0.888984708284415,0,0.00370827860706968,0.4,57470,-0.0038175495499806,0.999985882687457,"Auxiliary_D.21_pred[1]",0.496,0,2
"Auxiliary_D.21_pred[2]",0,0,2,0.50795,0.905106136199118,0,0.00370761677315775,0.4,59595,-0.00133872709338195,1.00015640456863,"Auxiliary_D.21_pred[2]",0.508,0,2
"Auxiliary_D.21_pred[3]",0,2,6,2.01863333333333,1.86911147122113,1,0.0077067757141453,0.4,58820,0.00149671405638897,1.00004141913089,"Auxiliary_D.21_pred[3]",2.019,0,6
