"","GPSname","GEN","VemcoSN","StartTime","EndTime","GenLat","GenLon"
"127","DeckrIs1","DeckerIsland","112536",2018-04-18 12:18:00,2018-07-23 11:45:00,38.07916,-121.75954
"128","DeckrIs2","DeckerIsland","546700",2018-04-18 11:37:00,2018-07-23 11:54:00,38.07916,-121.75954
"129","DeckrIs2","DeckerIsland","546700",2018-01-17 10:52:00,2018-04-18 11:18:00,38.07916,-121.75954
"130","DeckrIs3","DeckerIsland","546698",2018-04-18 11:00:00,2018-07-23 12:01:00,38.07916,-121.75954
"131","DeckrIs3","DeckerIsland","546698",2018-01-17 11:09:00,2018-04-18 10:23:00,38.07916,-121.75954
"132","DeckrIs4","DeckerIsland","107554",2018-01-17 12:05:00,2018-04-18 12:25:00,38.07916,-121.75954
"133","DeckrIs4","DeckerIsland","107554",2018-04-18 13:01:00,2018-07-23 12:01:00,38.07916,-121.75954
"134","DevilsSlide01",NA,"546162",2022-08-30 09:12:00,2022-12-05 14:51:00,NA,NA
"135","DF_1_DS","DurhamFerryDS","546163",2023-03-02 10:26:00,2023-08-08 14:02:00,37.683884,-121.256904
"136","DF_3_DS","DurhamFerryDS","546699",2023-03-02 10:42:00,NA,37.683884,-121.256904
"137","Duxbury01",NA,"546977",2022-09-08 05:20:00,2022-12-05 13:09:00,NA,NA
"138","GCID_abv_RL","GCID_abv","106684",2018-03-28 12:13:00,2018-07-19 15:38:00,39.806765,-122.058458
"139","GCID_abv_RL","GCID_abv","106684",2017-12-21 09:45:00,2018-03-28 11:57:00,39.806765,-122.058458
"140","GCID_abv_RR","GCID_abv","102179",2017-12-21 09:28:00,2018-03-28 12:16:00,39.806765,-122.058458
"141","GCID_abv_RR","GCID_abv","102179",2018-03-28 12:27:00,2018-07-19 15:00:00,39.806765,-122.058458
"142","GG1","GoldenGateW","547649",2019-12-17 09:18:00,2020-03-25 10:03:00,37.82126,-122.46918
"143","GG1","GoldenGateW","547649",2020-07-16 11:55:00,2020-12-01 09:02:00,37.82126,-122.46918
"144","GG1","GoldenGateW","547181",2018-08-21 09:28:00,2018-12-07 10:42:00,37.82126,-122.46918
"145","GG1","GoldenGateW","547649",2021-03-16 11:30:00,2021-07-21 08:04:00,37.82126,-122.46918
